Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,602.87,0.603
OP1 - Retrieve,Read-only,604.01,0.604
OP1 - Retrieve,Read-only,600.09,0.6
OP1 - Retrieve,Read-only,604.02,0.604
OP1 - Retrieve,Read-only,637.98,0.638
OP1 - Retrieve,Read-only,635.73,0.636
OP1 - Retrieve,Read-only,633.13,0.633
OP1 - Retrieve,Read-only,602.33,0.602
OP1 - Retrieve,Read-only,601.86,0.602
OP1 - Retrieve,Read-only,600.92,0.601
OP1 - Retrieve,Read-only,604.54,0.605
OP1 - Retrieve,Read-only,603.18,0.603
OP1 - Retrieve,Read-only,603.18,0.603
OP1 - Retrieve,Read-only,627.41,0.627
OP1 - Retrieve,Read-only,601.47,0.601
OP1 - Retrieve,Read-only,603.38,0.603
OP1 - Retrieve,Read-only,605.8,0.606
OP1 - Retrieve,Read-only,603.6,0.604
OP1 - Retrieve,Read-only,604.31,0.604
OP1 - Retrieve,Read-only,605.15,0.605
OP1 - Retrieve,Read-only,611.97,0.612
OP1 - Retrieve,Read-only,614.36,0.614
OP1 - Retrieve,Read-only,610.86,0.611
OP1 - Retrieve,Read-only,614.07,0.614
OP1 - Retrieve,Read-only,644.17,0.644
OP1 - Retrieve,Read-only,649.91,0.65
OP1 - Retrieve,Read-only,646.52,0.647
OP1 - Retrieve,Read-only,643.75,0.644
OP1 - Retrieve,Read-only,611.65,0.612
OP1 - Retrieve,Read-only,609.43,0.609
OP1 - Retrieve,Read-only,646.99,0.647
OP1 - Retrieve,Read-only,647.46,0.647
OP1 - Retrieve,Read-only,644.27,0.644
OP1 - Retrieve,Read-only,644.0,0.644
OP1 - Retrieve,Read-only,645.15,0.645
OP1 - Retrieve,Read-only,601.32,0.601
OP1 - Retrieve,Read-only,644.05,0.644
OP1 - Retrieve,Read-only,645.36,0.645
OP1 - Retrieve,Read-only,601.21,0.601
OP1 - Retrieve,Read-only,601.81,0.602
OP1 - Retrieve,Read-only,602.67,0.603
OP1 - Retrieve,Read-only,642.89,0.643
OP1 - Retrieve,Read-only,643.12,0.643
OP1 - Retrieve,Read-only,605.49,0.605
OP1 - Retrieve,Read-only,601.44,0.601
OP1 - Retrieve,Read-only,601.01,0.601
OP1 - Retrieve,Read-only,602.04,0.602
OP1 - Retrieve,Read-only,600.7,0.601
OP1 - Retrieve,Read-only,604.59,0.605
OP1 - Retrieve,Read-only,601.5,0.602
OP1 - Retrieve,Read-only,652.43,0.652
OP1 - Retrieve,Read-only,649.4,0.649
OP1 - Retrieve,Read-only,651.88,0.652
OP1 - Retrieve,Read-only,603.33,0.603
OP1 - Retrieve,Read-only,645.93,0.646
OP1 - Retrieve,Read-only,614.6,0.615
OP1 - Retrieve,Read-only,647.12,0.647
OP1 - Retrieve,Read-only,644.88,0.645
OP1 - Retrieve,Read-only,645.29,0.645
OP1 - Retrieve,Read-only,644.72,0.645
OP1 - Retrieve,Read-only,645.5,0.645
OP1 - Retrieve,Read-only,645.96,0.646
OP1 - Retrieve,Read-only,642.59,0.643
OP1 - Retrieve,Read-only,642.34,0.642
OP1 - Retrieve,Read-only,598.38,0.598
OP1 - Retrieve,Read-only,600.37,0.6
OP1 - Retrieve,Read-only,601.42,0.601
OP1 - Retrieve,Read-only,606.13,0.606
OP1 - Retrieve,Read-only,603.77,0.604
OP1 - Retrieve,Read-only,603.99,0.604
OP1 - Retrieve,Read-only,601.0,0.601
OP1 - Retrieve,Read-only,602.9,0.603
OP1 - Retrieve,Read-only,649.43,0.649
OP1 - Retrieve,Read-only,648.36,0.648
OP1 - Retrieve,Read-only,643.48,0.643
OP1 - Retrieve,Read-only,647.51,0.648
OP1 - Retrieve,Read-only,644.3,0.644
OP1 - Retrieve,Read-only,644.06,0.644
OP1 - Retrieve,Read-only,644.64,0.645
OP1 - Retrieve,Read-only,603.33,0.603
OP1 - Retrieve,Read-only,601.97,0.602
OP1 - Retrieve,Read-only,601.61,0.602
OP1 - Retrieve,Read-only,644.05,0.644
OP1 - Retrieve,Read-only,601.87,0.602
OP1 - Retrieve,Read-only,603.65,0.604
OP1 - Retrieve,Read-only,605.86,0.606
OP1 - Retrieve,Read-only,603.8,0.604
OP1 - Retrieve,Read-only,645.46,0.645
OP1 - Retrieve,Read-only,646.26,0.646
OP1 - Retrieve,Read-only,601.09,0.601
OP1 - Retrieve,Read-only,603.56,0.604
OP1 - Retrieve,Read-only,606.49,0.606
OP1 - Retrieve,Read-only,602.91,0.603
OP1 - Retrieve,Read-only,648.3,0.648
OP1 - Retrieve,Read-only,650.02,0.65
OP1 - Retrieve,Read-only,648.5,0.648
OP1 - Retrieve,Read-only,605.43,0.605
OP1 - Retrieve,Read-only,646.86,0.647
OP1 - Retrieve,Read-only,645.67,0.646
OP1 - Retrieve,Read-only,645.56,0.646
OP1 - Retrieve,Read-only,633.62,0.634
OP1 - Retrieve,Read-only,634.53,0.635
OP1 - Retrieve,Read-only,630.06,0.63
OP1 - Retrieve,Read-only,597.71,0.598
OP1 - Retrieve,Read-only,600.45,0.6
OP1 - Retrieve,Read-only,632.89,0.633
OP1 - Retrieve,Read-only,631.82,0.632
OP1 - Retrieve,Read-only,597.72,0.598
OP1 - Retrieve,Read-only,598.45,0.598
OP1 - Retrieve,Read-only,596.61,0.597
OP1 - Retrieve,Read-only,628.37,0.628
OP1 - Retrieve,Read-only,632.84,0.633
OP1 - Retrieve,Read-only,633.28,0.633
OP1 - Retrieve,Read-only,595.34,0.595
OP1 - Retrieve,Read-only,597.69,0.598
OP1 - Retrieve,Read-only,599.95,0.6
OP1 - Retrieve,Read-only,601.87,0.602
OP1 - Retrieve,Read-only,636.15,0.636
OP1 - Retrieve,Read-only,600.27,0.6
OP1 - Retrieve,Read-only,600.5,0.601
OP1 - Retrieve,Read-only,600.74,0.601
OP1 - Retrieve,Read-only,602.44,0.602
OP1 - Retrieve,Read-only,600.71,0.601
OP1 - Retrieve,Read-only,632.37,0.632
OP1 - Retrieve,Read-only,633.24,0.633
OP1 - Retrieve,Read-only,631.36,0.631
OP1 - Retrieve,Read-only,632.05,0.632
OP1 - Retrieve,Read-only,633.32,0.633
OP1 - Retrieve,Read-only,634.36,0.634
OP1 - Retrieve,Read-only,593.38,0.593
OP1 - Retrieve,Read-only,598.58,0.599
OP1 - Retrieve,Read-only,599.27,0.599
OP1 - Retrieve,Read-only,600.71,0.601
OP1 - Retrieve,Read-only,600.94,0.601
OP1 - Retrieve,Read-only,601.77,0.602
OP1 - Retrieve,Read-only,601.0,0.601
OP1 - Retrieve,Read-only,599.91,0.6
OP1 - Retrieve,Read-only,635.1,0.635
OP1 - Retrieve,Read-only,633.27,0.633
OP1 - Retrieve,Read-only,632.97,0.633
OP1 - Retrieve,Read-only,631.62,0.632
OP1 - Retrieve,Read-only,593.63,0.594
OP1 - Retrieve,Read-only,596.62,0.597
OP1 - Retrieve,Read-only,600.71,0.601
OP1 - Retrieve,Read-only,598.96,0.599
OP1 - Retrieve,Read-only,599.86,0.6
OP1 - Retrieve,Read-only,598.56,0.599
OP1 - Retrieve,Read-only,600.26,0.6
OP1 - Retrieve,Read-only,598.4,0.598
OP1 - Retrieve,Read-only,598.7,0.599
OP1 - Retrieve,Read-only,599.28,0.599
OP1 - Retrieve,Read-only,634.68,0.635
OP1 - Retrieve,Read-only,632.84,0.633
OP1 - Retrieve,Read-only,636.42,0.636
OP1 - Retrieve,Read-only,632.25,0.632
OP1 - Retrieve,Read-only,632.15,0.632
OP1 - Retrieve,Read-only,635.13,0.635
OP1 - Retrieve,Read-only,633.96,0.634
OP1 - Retrieve,Read-only,628.32,0.628
OP1 - Retrieve,Read-only,631.07,0.631
OP1 - Retrieve,Read-only,628.62,0.629
OP1 - Retrieve,Read-only,632.28,0.632
OP1 - Retrieve,Read-only,594.75,0.595
OP1 - Retrieve,Read-only,597.34,0.597
OP1 - Retrieve,Read-only,600.84,0.601
OP1 - Retrieve,Read-only,601.87,0.602
OP1 - Retrieve,Read-only,598.78,0.599
OP1 - Retrieve,Read-only,599.88,0.6
OP1 - Retrieve,Read-only,627.57,0.628
OP1 - Retrieve,Read-only,632.75,0.633
OP1 - Retrieve,Read-only,595.71,0.596
OP1 - Retrieve,Read-only,599.77,0.6
OP1 - Retrieve,Read-only,630.98,0.631
OP1 - Retrieve,Read-only,633.98,0.634
OP1 - Retrieve,Read-only,632.72,0.633
OP1 - Retrieve,Read-only,631.72,0.632
OP1 - Retrieve,Read-only,632.74,0.633
OP1 - Retrieve,Read-only,633.67,0.634
OP1 - Retrieve,Read-only,629.31,0.629
OP1 - Retrieve,Read-only,593.53,0.594
OP1 - Retrieve,Read-only,592.02,0.592
OP1 - Retrieve,Read-only,594.65,0.595
OP1 - Retrieve,Read-only,632.08,0.632
OP1 - Retrieve,Read-only,633.23,0.633
OP1 - Retrieve,Read-only,633.87,0.634
OP1 - Retrieve,Read-only,631.41,0.631
OP1 - Retrieve,Read-only,593.42,0.593
OP1 - Retrieve,Read-only,595.34,0.595
OP1 - Retrieve,Read-only,594.12,0.594
OP1 - Retrieve,Read-only,593.92,0.594
OP1 - Retrieve,Read-only,591.26,0.591
OP1 - Retrieve,Read-only,594.4,0.594
OP1 - Retrieve,Read-only,592.55,0.593
OP1 - Retrieve,Read-only,591.83,0.592
OP1 - Retrieve,Read-only,591.51,0.592
OP1 - Retrieve,Read-only,593.45,0.593
OP1 - Retrieve,Read-only,591.46,0.591
OP1 - Retrieve,Read-only,636.43,0.636
OP1 - Retrieve,Read-only,638.68,0.639
OP1 - Retrieve,Read-only,633.57,0.634
OP1 - Retrieve,Read-only,623.56,0.624
OP1 - Retrieve,Read-only,619.13,0.619
OP1 - Retrieve,Read-only,582.5,0.583
OP1 - Retrieve,Read-only,585.73,0.586
OP1 - Retrieve,Read-only,586.91,0.587
OP1 - Retrieve,Read-only,621.38,0.621
OP1 - Retrieve,Read-only,620.91,0.621
OP1 - Retrieve,Read-only,622.86,0.623
OP1 - Retrieve,Read-only,619.77,0.62
OP1 - Retrieve,Read-only,620.67,0.621
OP1 - Retrieve,Read-only,622.24,0.622
OP1 - Retrieve,Read-only,623.44,0.623
OP1 - Retrieve,Read-only,587.69,0.588
OP1 - Retrieve,Read-only,620.21,0.62
OP1 - Retrieve,Read-only,621.35,0.621
OP1 - Retrieve,Read-only,621.14,0.621
OP1 - Retrieve,Read-only,621.28,0.621
OP1 - Retrieve,Read-only,584.99,0.585
OP1 - Retrieve,Read-only,622.19,0.622
OP1 - Retrieve,Read-only,618.39,0.618
OP1 - Retrieve,Read-only,621.38,0.621
OP1 - Retrieve,Read-only,621.39,0.621
OP1 - Retrieve,Read-only,620.9,0.621
OP1 - Retrieve,Read-only,587.25,0.587
OP1 - Retrieve,Read-only,615.11,0.615
OP1 - Retrieve,Read-only,586.19,0.586
OP1 - Retrieve,Read-only,587.74,0.588
OP1 - Retrieve,Read-only,584.45,0.584
OP1 - Retrieve,Read-only,586.3,0.586
OP1 - Retrieve,Read-only,585.0,0.585
OP1 - Retrieve,Read-only,585.93,0.586
OP1 - Retrieve,Read-only,586.94,0.587
OP1 - Retrieve,Read-only,586.43,0.586
OP1 - Retrieve,Read-only,586.5,0.587
OP1 - Retrieve,Read-only,587.6,0.588
OP1 - Retrieve,Read-only,586.86,0.587
OP1 - Retrieve,Read-only,588.02,0.588
OP1 - Retrieve,Read-only,586.49,0.586
OP1 - Retrieve,Read-only,588.32,0.588
OP1 - Retrieve,Read-only,594.61,0.595
OP1 - Retrieve,Read-only,594.54,0.595
OP1 - Retrieve,Read-only,593.47,0.593
OP1 - Retrieve,Read-only,594.48,0.594
OP1 - Retrieve,Read-only,627.13,0.627
OP1 - Retrieve,Read-only,623.36,0.623
OP1 - Retrieve,Read-only,586.66,0.587
OP1 - Retrieve,Read-only,585.8,0.586
OP1 - Retrieve,Read-only,589.14,0.589
OP1 - Retrieve,Read-only,621.84,0.622
OP1 - Retrieve,Read-only,587.6,0.588
OP1 - Retrieve,Read-only,586.0,0.586
OP1 - Retrieve,Read-only,621.73,0.622
OP1 - Retrieve,Read-only,586.64,0.587
OP1 - Retrieve,Read-only,626.15,0.626
OP1 - Retrieve,Read-only,626.17,0.626
OP1 - Retrieve,Read-only,624.48,0.624
OP1 - Retrieve,Read-only,625.5,0.625
OP1 - Retrieve,Read-only,627.62,0.628
OP1 - Retrieve,Read-only,632.45,0.632
OP1 - Retrieve,Read-only,652.05,0.652
OP1 - Retrieve,Read-only,628.53,0.629
OP1 - Retrieve,Read-only,627.48,0.627
OP1 - Retrieve,Read-only,628.65,0.629
OP1 - Retrieve,Read-only,628.43,0.628
OP1 - Retrieve,Read-only,629.28,0.629
OP1 - Retrieve,Read-only,628.9,0.629
OP1 - Retrieve,Read-only,628.17,0.628
OP1 - Retrieve,Read-only,627.25,0.627
OP1 - Retrieve,Read-only,628.26,0.628
OP1 - Retrieve,Read-only,589.76,0.59
OP1 - Retrieve,Read-only,585.34,0.585
OP1 - Retrieve,Read-only,592.13,0.592
OP1 - Retrieve,Read-only,627.65,0.628
OP1 - Retrieve,Read-only,627.99,0.628
OP1 - Retrieve,Read-only,627.21,0.627
OP1 - Retrieve,Read-only,631.44,0.631
OP1 - Retrieve,Read-only,628.84,0.629
OP1 - Retrieve,Read-only,628.29,0.628
OP1 - Retrieve,Read-only,589.7,0.59
OP1 - Retrieve,Read-only,625.73,0.626
OP1 - Retrieve,Read-only,619.43,0.619
OP1 - Retrieve,Read-only,621.85,0.622
OP1 - Retrieve,Read-only,623.15,0.623
OP1 - Retrieve,Read-only,623.42,0.623
OP1 - Retrieve,Read-only,585.95,0.586
OP1 - Retrieve,Read-only,628.4,0.628
OP1 - Retrieve,Read-only,629.59,0.63
OP1 - Retrieve,Read-only,629.81,0.63
OP1 - Retrieve,Read-only,588.37,0.588
OP1 - Retrieve,Read-only,625.34,0.625
OP1 - Retrieve,Read-only,623.55,0.624
OP1 - Retrieve,Read-only,620.9,0.621
OP1 - Retrieve,Read-only,622.31,0.622
OP1 - Retrieve,Read-only,623.71,0.624
OP1 - Retrieve,Read-only,623.05,0.623
OP1 - Retrieve,Read-only,624.05,0.624
OP1 - Retrieve,Read-only,624.36,0.624
OP1 - Retrieve,Read-only,624.3,0.624
OP1 - Retrieve,Read-only,621.63,0.622
OP1 - Retrieve,Read-only,620.9,0.621
OP1 - Retrieve,Read-only,601.36,0.601
OP1 - Retrieve,Read-only,597.77,0.598
OP1 - Retrieve,Read-only,604.81,0.605
OP1 - Retrieve,Read-only,606.6,0.607
OP1 - Retrieve,Read-only,601.62,0.602
OP1 - Retrieve,Read-only,602.04,0.602
OP1 - Retrieve,Read-only,597.45,0.597
OP1 - Retrieve,Read-only,594.04,0.594
OP1 - Retrieve,Read-only,593.04,0.593
OP1 - Retrieve,Read-only,641.1,0.641
OP1 - Retrieve,Read-only,600.75,0.601
OP1 - Retrieve,Read-only,592.71,0.593
OP1 - Retrieve,Read-only,599.28,0.599
OP1 - Retrieve,Read-only,599.56,0.6
OP1 - Retrieve,Read-only,598.85,0.599
OP1 - Retrieve,Read-only,601.81,0.602
OP1 - Retrieve,Read-only,592.96,0.593
OP1 - Retrieve,Read-only,601.84,0.602
OP1 - Retrieve,Read-only,635.44,0.635
OP1 - Retrieve,Read-only,635.83,0.636
OP1 - Retrieve,Read-only,637.54,0.638
OP1 - Retrieve,Read-only,596.96,0.597
OP1 - Retrieve,Read-only,634.52,0.635
OP1 - Retrieve,Read-only,634.38,0.634
OP1 - Retrieve,Read-only,592.94,0.593
OP1 - Retrieve,Read-only,630.18,0.63
OP1 - Retrieve,Read-only,633.92,0.634
OP1 - Retrieve,Read-only,633.46,0.633
OP1 - Retrieve,Read-only,629.55,0.63
OP1 - Retrieve,Read-only,630.93,0.631
OP1 - Retrieve,Read-only,631.79,0.632
OP1 - Retrieve,Read-only,632.45,0.632
OP1 - Retrieve,Read-only,628.88,0.629
OP1 - Retrieve,Read-only,627.61,0.628
OP1 - Retrieve,Read-only,629.94,0.63
