Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,392.38,0.392
OP1 - Retrieve,Read-only,390.03,0.39
OP1 - Retrieve,Read-only,390.46,0.39
OP1 - Retrieve,Read-only,390.3,0.39
OP1 - Retrieve,Read-only,389.75,0.39
OP1 - Retrieve,Read-only,362.69,0.363
OP1 - Retrieve,Read-only,362.31,0.362
OP1 - Retrieve,Read-only,363.29,0.363
OP1 - Retrieve,Read-only,363.7,0.364
OP1 - Retrieve,Read-only,361.74,0.362
OP1 - Retrieve,Read-only,363.54,0.364
OP1 - Retrieve,Read-only,364.07,0.364
OP1 - Retrieve,Read-only,363.77,0.364
OP1 - Retrieve,Read-only,364.2,0.364
OP1 - Retrieve,Read-only,363.11,0.363
OP1 - Retrieve,Read-only,362.14,0.362
OP1 - Retrieve,Read-only,361.47,0.361
OP1 - Retrieve,Read-only,362.59,0.363
OP1 - Retrieve,Read-only,363.02,0.363
OP1 - Retrieve,Read-only,362.3,0.362
OP1 - Retrieve,Read-only,360.79,0.361
OP1 - Retrieve,Read-only,387.99,0.388
OP1 - Retrieve,Read-only,391.72,0.392
OP1 - Retrieve,Read-only,364.47,0.364
OP1 - Retrieve,Read-only,361.78,0.362
OP1 - Retrieve,Read-only,386.1,0.386
OP1 - Retrieve,Read-only,389.69,0.39
OP1 - Retrieve,Read-only,391.34,0.391
OP1 - Retrieve,Read-only,390.57,0.391
OP1 - Retrieve,Read-only,390.18,0.39
OP1 - Retrieve,Read-only,389.72,0.39
OP1 - Retrieve,Read-only,363.11,0.363
OP1 - Retrieve,Read-only,361.08,0.361
OP1 - Retrieve,Read-only,364.15,0.364
OP1 - Retrieve,Read-only,362.75,0.363
OP1 - Retrieve,Read-only,390.84,0.391
OP1 - Retrieve,Read-only,394.54,0.395
OP1 - Retrieve,Read-only,395.13,0.395
OP1 - Retrieve,Read-only,389.99,0.39
OP1 - Retrieve,Read-only,389.07,0.389
OP1 - Retrieve,Read-only,395.64,0.396
OP1 - Retrieve,Read-only,363.11,0.363
OP1 - Retrieve,Read-only,361.73,0.362
OP1 - Retrieve,Read-only,361.94,0.362
OP1 - Retrieve,Read-only,363.01,0.363
OP1 - Retrieve,Read-only,363.45,0.363
OP1 - Retrieve,Read-only,392.19,0.392
OP1 - Retrieve,Read-only,393.08,0.393
OP1 - Retrieve,Read-only,361.8,0.362
OP1 - Retrieve,Read-only,363.3,0.363
OP1 - Retrieve,Read-only,364.23,0.364
OP1 - Retrieve,Read-only,387.01,0.387
OP1 - Retrieve,Read-only,363.73,0.364
OP1 - Retrieve,Read-only,362.87,0.363
OP1 - Retrieve,Read-only,361.66,0.362
OP1 - Retrieve,Read-only,361.95,0.362
OP1 - Retrieve,Read-only,390.21,0.39
OP1 - Retrieve,Read-only,368.7,0.369
OP1 - Retrieve,Read-only,367.16,0.367
OP1 - Retrieve,Read-only,370.0,0.37
OP1 - Retrieve,Read-only,368.99,0.369
OP1 - Retrieve,Read-only,394.89,0.395
OP1 - Retrieve,Read-only,394.24,0.394
OP1 - Retrieve,Read-only,394.58,0.395
OP1 - Retrieve,Read-only,368.1,0.368
OP1 - Retrieve,Read-only,392.96,0.393
OP1 - Retrieve,Read-only,368.91,0.369
OP1 - Retrieve,Read-only,369.77,0.37
OP1 - Retrieve,Read-only,368.52,0.369
OP1 - Retrieve,Read-only,367.98,0.368
OP1 - Retrieve,Read-only,365.54,0.366
OP1 - Retrieve,Read-only,370.63,0.371
OP1 - Retrieve,Read-only,392.28,0.392
OP1 - Retrieve,Read-only,391.04,0.391
OP1 - Retrieve,Read-only,393.15,0.393
OP1 - Retrieve,Read-only,391.92,0.392
OP1 - Retrieve,Read-only,391.17,0.391
OP1 - Retrieve,Read-only,367.47,0.367
OP1 - Retrieve,Read-only,368.35,0.368
OP1 - Retrieve,Read-only,365.21,0.365
OP1 - Retrieve,Read-only,362.08,0.362
OP1 - Retrieve,Read-only,362.64,0.363
OP1 - Retrieve,Read-only,363.95,0.364
OP1 - Retrieve,Read-only,369.35,0.369
OP1 - Retrieve,Read-only,368.6,0.369
OP1 - Retrieve,Read-only,364.56,0.365
OP1 - Retrieve,Read-only,363.72,0.364
OP1 - Retrieve,Read-only,364.46,0.364
OP1 - Retrieve,Read-only,363.99,0.364
OP1 - Retrieve,Read-only,363.06,0.363
OP1 - Retrieve,Read-only,362.08,0.362
OP1 - Retrieve,Read-only,364.1,0.364
OP1 - Retrieve,Read-only,364.39,0.364
OP1 - Retrieve,Read-only,363.31,0.363
OP1 - Retrieve,Read-only,362.8,0.363
OP1 - Retrieve,Read-only,369.58,0.37
OP1 - Retrieve,Read-only,364.14,0.364
OP1 - Retrieve,Read-only,371.45,0.371
OP1 - Retrieve,Read-only,373.58,0.374
OP1 - Retrieve,Read-only,373.87,0.374
OP1 - Retrieve,Read-only,380.08,0.38
OP1 - Retrieve,Read-only,384.09,0.384
OP1 - Retrieve,Read-only,375.86,0.376
OP1 - Retrieve,Read-only,380.91,0.381
OP1 - Retrieve,Read-only,380.75,0.381
OP1 - Retrieve,Read-only,388.2,0.388
OP1 - Retrieve,Read-only,383.23,0.383
OP1 - Retrieve,Read-only,382.08,0.382
OP1 - Retrieve,Read-only,381.61,0.382
OP1 - Retrieve,Read-only,379.47,0.379
OP1 - Retrieve,Read-only,380.02,0.38
OP1 - Retrieve,Read-only,378.02,0.378
OP1 - Retrieve,Read-only,379.79,0.38
OP1 - Retrieve,Read-only,381.26,0.381
OP1 - Retrieve,Read-only,378.72,0.379
OP1 - Retrieve,Read-only,380.35,0.38
OP1 - Retrieve,Read-only,376.12,0.376
OP1 - Retrieve,Read-only,357.12,0.357
OP1 - Retrieve,Read-only,357.87,0.358
OP1 - Retrieve,Read-only,359.82,0.36
OP1 - Retrieve,Read-only,362.1,0.362
OP1 - Retrieve,Read-only,360.61,0.361
OP1 - Retrieve,Read-only,360.38,0.36
OP1 - Retrieve,Read-only,358.99,0.359
OP1 - Retrieve,Read-only,360.77,0.361
OP1 - Retrieve,Read-only,359.11,0.359
OP1 - Retrieve,Read-only,358.92,0.359
OP1 - Retrieve,Read-only,361.3,0.361
OP1 - Retrieve,Read-only,360.61,0.361
OP1 - Retrieve,Read-only,360.79,0.361
OP1 - Retrieve,Read-only,359.33,0.359
OP1 - Retrieve,Read-only,360.43,0.36
OP1 - Retrieve,Read-only,378.51,0.379
OP1 - Retrieve,Read-only,379.72,0.38
OP1 - Retrieve,Read-only,379.24,0.379
OP1 - Retrieve,Read-only,380.2,0.38
OP1 - Retrieve,Read-only,358.82,0.359
OP1 - Retrieve,Read-only,359.34,0.359
OP1 - Retrieve,Read-only,359.33,0.359
OP1 - Retrieve,Read-only,359.27,0.359
OP1 - Retrieve,Read-only,358.44,0.358
OP1 - Retrieve,Read-only,360.21,0.36
OP1 - Retrieve,Read-only,360.39,0.36
OP1 - Retrieve,Read-only,360.97,0.361
OP1 - Retrieve,Read-only,358.92,0.359
OP1 - Retrieve,Read-only,375.34,0.375
OP1 - Retrieve,Read-only,378.84,0.379
OP1 - Retrieve,Read-only,379.7,0.38
OP1 - Retrieve,Read-only,360.94,0.361
OP1 - Retrieve,Read-only,359.06,0.359
OP1 - Retrieve,Read-only,359.83,0.36
OP1 - Retrieve,Read-only,360.45,0.36
OP1 - Retrieve,Read-only,359.77,0.36
OP1 - Retrieve,Read-only,360.39,0.36
OP1 - Retrieve,Read-only,360.02,0.36
OP1 - Retrieve,Read-only,360.21,0.36
OP1 - Retrieve,Read-only,360.66,0.361
OP1 - Retrieve,Read-only,361.19,0.361
OP1 - Retrieve,Read-only,378.64,0.379
OP1 - Retrieve,Read-only,377.99,0.378
OP1 - Retrieve,Read-only,379.17,0.379
OP1 - Retrieve,Read-only,361.01,0.361
OP1 - Retrieve,Read-only,360.69,0.361
OP1 - Retrieve,Read-only,360.02,0.36
OP1 - Retrieve,Read-only,360.66,0.361
OP1 - Retrieve,Read-only,359.04,0.359
OP1 - Retrieve,Read-only,357.72,0.358
OP1 - Retrieve,Read-only,360.21,0.36
OP1 - Retrieve,Read-only,359.64,0.36
OP1 - Retrieve,Read-only,360.39,0.36
OP1 - Retrieve,Read-only,360.04,0.36
OP1 - Retrieve,Read-only,359.21,0.359
OP1 - Retrieve,Read-only,358.41,0.358
OP1 - Retrieve,Read-only,358.99,0.359
OP1 - Retrieve,Read-only,362.02,0.362
OP1 - Retrieve,Read-only,377.29,0.377
OP1 - Retrieve,Read-only,359.63,0.36
OP1 - Retrieve,Read-only,359.55,0.36
OP1 - Retrieve,Read-only,378.44,0.378
OP1 - Retrieve,Read-only,382.15,0.382
OP1 - Retrieve,Read-only,357.97,0.358
OP1 - Retrieve,Read-only,359.86,0.36
OP1 - Retrieve,Read-only,359.66,0.36
OP1 - Retrieve,Read-only,383.4,0.383
OP1 - Retrieve,Read-only,380.38,0.38
OP1 - Retrieve,Read-only,382.86,0.383
OP1 - Retrieve,Read-only,380.6,0.381
OP1 - Retrieve,Read-only,380.06,0.38
OP1 - Retrieve,Read-only,380.49,0.38
OP1 - Retrieve,Read-only,378.45,0.378
OP1 - Retrieve,Read-only,380.17,0.38
OP1 - Retrieve,Read-only,379.88,0.38
OP1 - Retrieve,Read-only,377.97,0.378
OP1 - Retrieve,Read-only,379.34,0.379
OP1 - Retrieve,Read-only,377.94,0.378
OP1 - Retrieve,Read-only,379.04,0.379
OP1 - Retrieve,Read-only,354.33,0.354
OP1 - Retrieve,Read-only,353.02,0.353
OP1 - Retrieve,Read-only,353.84,0.354
OP1 - Retrieve,Read-only,378.16,0.378
OP1 - Retrieve,Read-only,389.03,0.389
OP1 - Retrieve,Read-only,389.52,0.39
OP1 - Retrieve,Read-only,388.13,0.388
OP1 - Retrieve,Read-only,389.02,0.389
OP1 - Retrieve,Read-only,397.07,0.397
OP1 - Retrieve,Read-only,394.27,0.394
OP1 - Retrieve,Read-only,383.91,0.384
OP1 - Retrieve,Read-only,387.48,0.387
OP1 - Retrieve,Read-only,389.98,0.39
OP1 - Retrieve,Read-only,390.99,0.391
OP1 - Retrieve,Read-only,389.97,0.39
OP1 - Retrieve,Read-only,391.72,0.392
OP1 - Retrieve,Read-only,389.24,0.389
OP1 - Retrieve,Read-only,389.62,0.39
OP1 - Retrieve,Read-only,383.28,0.383
OP1 - Retrieve,Read-only,385.24,0.385
OP1 - Retrieve,Read-only,388.49,0.388
OP1 - Retrieve,Read-only,387.83,0.388
OP1 - Retrieve,Read-only,387.98,0.388
OP1 - Retrieve,Read-only,388.2,0.388
OP1 - Retrieve,Read-only,388.63,0.389
OP1 - Retrieve,Read-only,389.55,0.39
OP1 - Retrieve,Read-only,389.94,0.39
OP1 - Retrieve,Read-only,388.76,0.389
OP1 - Retrieve,Read-only,387.93,0.388
OP1 - Retrieve,Read-only,389.33,0.389
