Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,125.98,0.126
OP1 - Retrieve,Read-only,127.58,0.128
OP1 - Retrieve,Read-only,125.89,0.126
OP1 - Retrieve,Read-only,131.19,0.131
OP1 - Retrieve,Read-only,126.16,0.126
OP1 - Retrieve,Read-only,125.08,0.125
OP1 - Retrieve,Read-only,125.33,0.125
OP1 - Retrieve,Read-only,126.58,0.127
OP1 - Retrieve,Read-only,129.64,0.13
OP1 - Retrieve,Read-only,128.95,0.129
OP1 - Retrieve,Read-only,130.21,0.13
OP1 - Retrieve,Read-only,129.64,0.13
OP1 - Retrieve,Read-only,129.44,0.129
OP1 - Retrieve,Read-only,130.12,0.13
OP1 - Retrieve,Read-only,119.98,0.12
OP1 - Retrieve,Read-only,120.77,0.121
OP1 - Retrieve,Read-only,130.56,0.131
OP1 - Retrieve,Read-only,120.13,0.12
OP1 - Retrieve,Read-only,131.98,0.132
OP1 - Retrieve,Read-only,131.93,0.132
OP1 - Retrieve,Read-only,132.57,0.133
OP1 - Retrieve,Read-only,134.81,0.135
OP1 - Retrieve,Read-only,133.1,0.133
OP1 - Retrieve,Read-only,132.37,0.132
OP1 - Retrieve,Read-only,132.45,0.132
OP1 - Retrieve,Read-only,132.78,0.133
OP1 - Retrieve,Read-only,132.05,0.132
OP1 - Retrieve,Read-only,119.2,0.119
OP1 - Retrieve,Read-only,120.25,0.12
OP1 - Retrieve,Read-only,120.51,0.121
OP1 - Retrieve,Read-only,119.91,0.12
OP1 - Retrieve,Read-only,119.67,0.12
OP1 - Retrieve,Read-only,119.51,0.12
OP1 - Retrieve,Read-only,130.47,0.13
OP1 - Retrieve,Read-only,130.28,0.13
OP1 - Retrieve,Read-only,129.93,0.13
OP1 - Retrieve,Read-only,130.16,0.13
OP1 - Retrieve,Read-only,130.99,0.131
OP1 - Retrieve,Read-only,129.58,0.13
OP1 - Retrieve,Read-only,129.47,0.129
OP1 - Retrieve,Read-only,129.04,0.129
OP1 - Retrieve,Read-only,129.96,0.13
OP1 - Retrieve,Read-only,129.57,0.13
OP1 - Retrieve,Read-only,130.11,0.13
OP1 - Retrieve,Read-only,129.71,0.13
OP1 - Retrieve,Read-only,118.77,0.119
OP1 - Retrieve,Read-only,118.52,0.119
OP1 - Retrieve,Read-only,119.15,0.119
OP1 - Retrieve,Read-only,128.75,0.129
OP1 - Retrieve,Read-only,129.54,0.13
OP1 - Retrieve,Read-only,129.48,0.129
OP1 - Retrieve,Read-only,128.61,0.129
OP1 - Retrieve,Read-only,131.0,0.131
OP1 - Retrieve,Read-only,128.27,0.128
OP1 - Retrieve,Read-only,129.31,0.129
OP1 - Retrieve,Read-only,128.68,0.129
OP1 - Retrieve,Read-only,128.42,0.128
OP1 - Retrieve,Read-only,129.03,0.129
OP1 - Retrieve,Read-only,128.57,0.129
OP1 - Retrieve,Read-only,128.47,0.128
OP1 - Retrieve,Read-only,128.61,0.129
OP1 - Retrieve,Read-only,128.3,0.128
OP1 - Retrieve,Read-only,128.12,0.128
OP1 - Retrieve,Read-only,128.5,0.129
OP1 - Retrieve,Read-only,127.55,0.128
OP1 - Retrieve,Read-only,128.71,0.129
OP1 - Retrieve,Read-only,127.1,0.127
OP1 - Retrieve,Read-only,127.19,0.127
OP1 - Retrieve,Read-only,127.15,0.127
OP1 - Retrieve,Read-only,127.18,0.127
OP1 - Retrieve,Read-only,127.19,0.127
OP1 - Retrieve,Read-only,126.59,0.127
OP1 - Retrieve,Read-only,126.94,0.127
OP1 - Retrieve,Read-only,126.95,0.127
OP1 - Retrieve,Read-only,119.55,0.12
OP1 - Retrieve,Read-only,119.46,0.119
OP1 - Retrieve,Read-only,119.19,0.119
OP1 - Retrieve,Read-only,125.91,0.126
OP1 - Retrieve,Read-only,127.11,0.127
OP1 - Retrieve,Read-only,118.61,0.119
OP1 - Retrieve,Read-only,119.25,0.119
OP1 - Retrieve,Read-only,122.97,0.123
OP1 - Retrieve,Read-only,126.04,0.126
OP1 - Retrieve,Read-only,126.88,0.127
OP1 - Retrieve,Read-only,127.02,0.127
OP1 - Retrieve,Read-only,127.6,0.128
OP1 - Retrieve,Read-only,127.04,0.127
OP1 - Retrieve,Read-only,126.7,0.127
OP1 - Retrieve,Read-only,126.4,0.126
OP1 - Retrieve,Read-only,126.33,0.126
OP1 - Retrieve,Read-only,126.71,0.127
OP1 - Retrieve,Read-only,126.44,0.126
OP1 - Retrieve,Read-only,126.4,0.126
OP1 - Retrieve,Read-only,129.31,0.129
OP1 - Retrieve,Read-only,118.38,0.118
OP1 - Retrieve,Read-only,119.53,0.12
OP1 - Retrieve,Read-only,119.15,0.119
OP1 - Retrieve,Read-only,125.69,0.126
OP1 - Retrieve,Read-only,126.8,0.127
OP1 - Retrieve,Read-only,126.96,0.127
OP1 - Retrieve,Read-only,131.32,0.131
OP1 - Retrieve,Read-only,132.3,0.132
OP1 - Retrieve,Read-only,131.26,0.131
OP1 - Retrieve,Read-only,134.41,0.134
OP1 - Retrieve,Read-only,132.13,0.132
OP1 - Retrieve,Read-only,132.21,0.132
OP1 - Retrieve,Read-only,118.39,0.118
OP1 - Retrieve,Read-only,119.3,0.119
OP1 - Retrieve,Read-only,127.69,0.128
OP1 - Retrieve,Read-only,131.85,0.132
OP1 - Retrieve,Read-only,132.0,0.132
OP1 - Retrieve,Read-only,119.34,0.119
OP1 - Retrieve,Read-only,131.24,0.131
OP1 - Retrieve,Read-only,119.12,0.119
OP1 - Retrieve,Read-only,127.7,0.128
OP1 - Retrieve,Read-only,131.4,0.131
OP1 - Retrieve,Read-only,131.74,0.132
OP1 - Retrieve,Read-only,131.7,0.132
OP1 - Retrieve,Read-only,131.69,0.132
OP1 - Retrieve,Read-only,130.48,0.13
OP1 - Retrieve,Read-only,118.59,0.119
OP1 - Retrieve,Read-only,119.73,0.12
OP1 - Retrieve,Read-only,126.56,0.127
OP1 - Retrieve,Read-only,130.73,0.131
OP1 - Retrieve,Read-only,130.38,0.13
OP1 - Retrieve,Read-only,130.74,0.131
OP1 - Retrieve,Read-only,129.76,0.13
OP1 - Retrieve,Read-only,129.18,0.129
OP1 - Retrieve,Read-only,121.15,0.121
OP1 - Retrieve,Read-only,121.95,0.122
OP1 - Retrieve,Read-only,122.17,0.122
