Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,96.12,0.096
OP1 - Retrieve,Read-only,93.99,0.094
OP1 - Retrieve,Read-only,97.32,0.097
OP1 - Retrieve,Read-only,99.3,0.099
OP1 - Retrieve,Read-only,105.6,0.106
OP1 - Retrieve,Read-only,98.64,0.099
OP1 - Retrieve,Read-only,95.05,0.095
OP1 - Retrieve,Read-only,94.22,0.094
OP1 - Retrieve,Read-only,99.96,0.1
OP1 - Retrieve,Read-only,98.12,0.098
OP1 - Retrieve,Read-only,103.5,0.103
OP1 - Retrieve,Read-only,96.5,0.097
OP1 - Retrieve,Read-only,98.53,0.099
OP1 - Retrieve,Read-only,100.76,0.101
OP1 - Retrieve,Read-only,98.48,0.098
OP1 - Retrieve,Read-only,99.18,0.099
OP1 - Retrieve,Read-only,100.01,0.1
OP1 - Retrieve,Read-only,101.39,0.101
OP1 - Retrieve,Read-only,100.51,0.101
OP1 - Retrieve,Read-only,98.72,0.099
OP1 - Retrieve,Read-only,94.95,0.095
OP1 - Retrieve,Read-only,99.34,0.099
OP1 - Retrieve,Read-only,93.88,0.094
OP1 - Retrieve,Read-only,95.84,0.096
OP1 - Retrieve,Read-only,95.52,0.096
OP1 - Retrieve,Read-only,95.16,0.095
OP1 - Retrieve,Read-only,99.24,0.099
OP1 - Retrieve,Read-only,97.07,0.097
OP1 - Retrieve,Read-only,98.04,0.098
OP1 - Retrieve,Read-only,99.52,0.1
OP1 - Retrieve,Read-only,98.78,0.099
OP1 - Retrieve,Read-only,94.0,0.094
OP1 - Retrieve,Read-only,93.46,0.093
OP1 - Retrieve,Read-only,95.16,0.095
OP1 - Retrieve,Read-only,95.3,0.095
OP1 - Retrieve,Read-only,92.85,0.093
OP1 - Retrieve,Read-only,100.96,0.101
OP1 - Retrieve,Read-only,96.09,0.096
OP1 - Retrieve,Read-only,90.78,0.091
OP1 - Retrieve,Read-only,95.36,0.095
OP1 - Retrieve,Read-only,93.63,0.094
OP1 - Retrieve,Read-only,91.71,0.092
OP1 - Retrieve,Read-only,96.86,0.097
OP1 - Retrieve,Read-only,98.13,0.098
OP1 - Retrieve,Read-only,97.39,0.097
OP1 - Retrieve,Read-only,95.06,0.095
OP1 - Retrieve,Read-only,95.86,0.096
OP1 - Retrieve,Read-only,94.56,0.095
OP1 - Retrieve,Read-only,90.57,0.091
OP1 - Retrieve,Read-only,99.95,0.1
OP1 - Retrieve,Read-only,96.49,0.096
OP1 - Retrieve,Read-only,94.09,0.094
OP1 - Retrieve,Read-only,94.88,0.095
OP1 - Retrieve,Read-only,97.76,0.098
OP1 - Retrieve,Read-only,95.19,0.095
OP1 - Retrieve,Read-only,95.39,0.095
OP1 - Retrieve,Read-only,93.04,0.093
OP1 - Retrieve,Read-only,93.01,0.093
OP1 - Retrieve,Read-only,94.58,0.095
OP1 - Retrieve,Read-only,94.7,0.095
OP1 - Retrieve,Read-only,93.43,0.093
OP1 - Retrieve,Read-only,96.16,0.096
OP1 - Retrieve,Read-only,96.03,0.096
OP1 - Retrieve,Read-only,94.78,0.095
OP1 - Retrieve,Read-only,95.94,0.096
OP1 - Retrieve,Read-only,96.28,0.096
OP1 - Retrieve,Read-only,96.9,0.097
OP1 - Retrieve,Read-only,95.96,0.096
OP1 - Retrieve,Read-only,94.13,0.094
OP1 - Retrieve,Read-only,94.89,0.095
OP1 - Retrieve,Read-only,95.37,0.095
OP1 - Retrieve,Read-only,96.55,0.097
OP1 - Retrieve,Read-only,93.75,0.094
OP1 - Retrieve,Read-only,96.24,0.096
OP1 - Retrieve,Read-only,93.08,0.093
OP1 - Retrieve,Read-only,92.97,0.093
OP1 - Retrieve,Read-only,90.64,0.091
OP1 - Retrieve,Read-only,95.93,0.096
OP1 - Retrieve,Read-only,98.3,0.098
OP1 - Retrieve,Read-only,90.77,0.091
OP1 - Retrieve,Read-only,93.33,0.093
OP1 - Retrieve,Read-only,94.04,0.094
OP1 - Retrieve,Read-only,95.33,0.095
OP1 - Retrieve,Read-only,95.66,0.096
OP1 - Retrieve,Read-only,93.56,0.094
OP1 - Retrieve,Read-only,93.92,0.094
OP1 - Retrieve,Read-only,94.25,0.094
OP1 - Retrieve,Read-only,96.02,0.096
OP1 - Retrieve,Read-only,86.83,0.087
OP1 - Retrieve,Read-only,90.8,0.091
OP1 - Retrieve,Read-only,93.64,0.094
OP1 - Retrieve,Read-only,96.03,0.096
OP1 - Retrieve,Read-only,93.84,0.094
OP1 - Retrieve,Read-only,95.82,0.096
OP1 - Retrieve,Read-only,93.77,0.094
OP1 - Retrieve,Read-only,96.0,0.096
OP1 - Retrieve,Read-only,94.93,0.095
OP1 - Retrieve,Read-only,95.26,0.095
OP1 - Retrieve,Read-only,93.13,0.093
OP1 - Retrieve,Read-only,95.19,0.095
OP1 - Retrieve,Read-only,95.47,0.095
OP1 - Retrieve,Read-only,88.61,0.089
OP1 - Retrieve,Read-only,96.48,0.096
OP1 - Retrieve,Read-only,102.02,0.102
OP1 - Retrieve,Read-only,94.77,0.095
OP1 - Retrieve,Read-only,96.01,0.096
OP1 - Retrieve,Read-only,96.66,0.097
OP1 - Retrieve,Read-only,91.35,0.091
OP1 - Retrieve,Read-only,96.11,0.096
OP1 - Retrieve,Read-only,95.85,0.096
OP1 - Retrieve,Read-only,97.54,0.098
OP1 - Retrieve,Read-only,94.47,0.094
OP1 - Retrieve,Read-only,98.58,0.099
OP1 - Retrieve,Read-only,93.37,0.093
OP1 - Retrieve,Read-only,96.41,0.096
OP1 - Retrieve,Read-only,96.69,0.097
OP1 - Retrieve,Read-only,99.05,0.099
OP1 - Retrieve,Read-only,95.49,0.095
OP1 - Retrieve,Read-only,96.02,0.096
OP1 - Retrieve,Read-only,96.42,0.096
OP1 - Retrieve,Read-only,96.1,0.096
OP1 - Retrieve,Read-only,93.45,0.093
OP1 - Retrieve,Read-only,94.34,0.094
OP1 - Retrieve,Read-only,94.0,0.094
OP1 - Retrieve,Read-only,94.78,0.095
