Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,578.37,0.578
OP1 - Retrieve,Read-only,577.28,0.577
OP1 - Retrieve,Read-only,571.52,0.572
OP1 - Retrieve,Read-only,572.42,0.572
OP1 - Retrieve,Read-only,572.97,0.573
OP1 - Retrieve,Read-only,580.75,0.581
OP1 - Retrieve,Read-only,565.08,0.565
OP1 - Retrieve,Read-only,568.83,0.569
OP1 - Retrieve,Read-only,570.99,0.571
OP1 - Retrieve,Read-only,570.54,0.571
OP1 - Retrieve,Read-only,570.02,0.57
OP1 - Retrieve,Read-only,570.45,0.57
OP1 - Retrieve,Read-only,570.34,0.57
OP1 - Retrieve,Read-only,580.36,0.58
OP1 - Retrieve,Read-only,571.34,0.571
OP1 - Retrieve,Read-only,569.86,0.57
OP1 - Retrieve,Read-only,577.28,0.577
OP1 - Retrieve,Read-only,585.9,0.586
OP1 - Retrieve,Read-only,578.07,0.578
OP1 - Retrieve,Read-only,576.96,0.577
OP1 - Retrieve,Read-only,572.08,0.572
OP1 - Retrieve,Read-only,569.43,0.569
OP1 - Retrieve,Read-only,577.8,0.578
OP1 - Retrieve,Read-only,582.52,0.583
OP1 - Retrieve,Read-only,581.43,0.581
OP1 - Retrieve,Read-only,579.03,0.579
OP1 - Retrieve,Read-only,580.54,0.581
OP1 - Retrieve,Read-only,567.8,0.568
OP1 - Retrieve,Read-only,575.23,0.575
OP1 - Retrieve,Read-only,579.74,0.58
OP1 - Retrieve,Read-only,578.65,0.579
OP1 - Retrieve,Read-only,578.68,0.579
OP1 - Retrieve,Read-only,567.57,0.568
OP1 - Retrieve,Read-only,569.88,0.57
OP1 - Retrieve,Read-only,573.14,0.573
OP1 - Retrieve,Read-only,571.95,0.572
OP1 - Retrieve,Read-only,570.17,0.57
OP1 - Retrieve,Read-only,601.89,0.602
OP1 - Retrieve,Read-only,581.79,0.582
OP1 - Retrieve,Read-only,578.95,0.579
OP1 - Retrieve,Read-only,573.91,0.574
OP1 - Retrieve,Read-only,577.91,0.578
OP1 - Retrieve,Read-only,569.54,0.57
OP1 - Retrieve,Read-only,569.23,0.569
OP1 - Retrieve,Read-only,576.13,0.576
OP1 - Retrieve,Read-only,582.72,0.583
OP1 - Retrieve,Read-only,576.89,0.577
OP1 - Retrieve,Read-only,578.17,0.578
OP1 - Retrieve,Read-only,576.94,0.577
OP1 - Retrieve,Read-only,578.24,0.578
OP1 - Retrieve,Read-only,571.87,0.572
OP1 - Retrieve,Read-only,570.07,0.57
OP1 - Retrieve,Read-only,572.74,0.573
OP1 - Retrieve,Read-only,577.01,0.577
OP1 - Retrieve,Read-only,567.64,0.568
OP1 - Retrieve,Read-only,568.89,0.569
OP1 - Retrieve,Read-only,570.17,0.57
OP1 - Retrieve,Read-only,570.36,0.57
OP1 - Retrieve,Read-only,582.23,0.582
OP1 - Retrieve,Read-only,571.16,0.571
OP1 - Retrieve,Read-only,570.98,0.571
OP1 - Retrieve,Read-only,571.55,0.572
OP1 - Retrieve,Read-only,569.87,0.57
OP1 - Retrieve,Read-only,570.89,0.571
OP1 - Retrieve,Read-only,567.05,0.567
OP1 - Retrieve,Read-only,568.84,0.569
OP1 - Retrieve,Read-only,567.3,0.567
OP1 - Retrieve,Read-only,575.2,0.575
OP1 - Retrieve,Read-only,564.3,0.564
OP1 - Retrieve,Read-only,570.65,0.571
OP1 - Retrieve,Read-only,568.89,0.569
OP1 - Retrieve,Read-only,569.3,0.569
OP1 - Retrieve,Read-only,573.33,0.573
OP1 - Retrieve,Read-only,574.17,0.574
OP1 - Retrieve,Read-only,569.4,0.569
OP1 - Retrieve,Read-only,567.76,0.568
