Operation,Transaction mode,time,time_s
OP1 - Retrieve,Read-only,222.11,0.222
OP1 - Retrieve,Read-only,221.93,0.222
OP1 - Retrieve,Read-only,219.6,0.22
OP1 - Retrieve,Read-only,218.8,0.219
OP1 - Retrieve,Read-only,216.27,0.216
OP1 - Retrieve,Read-only,222.98,0.223
OP1 - Retrieve,Read-only,218.86,0.219
OP1 - Retrieve,Read-only,220.79,0.221
OP1 - Retrieve,Read-only,224.69,0.225
OP1 - Retrieve,Read-only,218.65,0.219
OP1 - Retrieve,Read-only,222.28,0.222
OP1 - Retrieve,Read-only,220.71,0.221
OP1 - Retrieve,Read-only,218.73,0.219
OP1 - Retrieve,Read-only,222.17,0.222
OP1 - Retrieve,Read-only,219.19,0.219
OP1 - Retrieve,Read-only,222.85,0.223
OP1 - Retrieve,Read-only,218.54,0.219
OP1 - Retrieve,Read-only,221.93,0.222
OP1 - Retrieve,Read-only,218.04,0.218
OP1 - Retrieve,Read-only,223.81,0.224
OP1 - Retrieve,Read-only,220.81,0.221
OP1 - Retrieve,Read-only,218.49,0.218
OP1 - Retrieve,Read-only,221.09,0.221
OP1 - Retrieve,Read-only,218.63,0.219
OP1 - Retrieve,Read-only,224.42,0.224
OP1 - Retrieve,Read-only,217.47,0.217
OP1 - Retrieve,Read-only,217.56,0.218
OP1 - Retrieve,Read-only,218.58,0.219
OP1 - Retrieve,Read-only,219.32,0.219
OP1 - Retrieve,Read-only,219.3,0.219
OP1 - Retrieve,Read-only,219.31,0.219
OP1 - Retrieve,Read-only,218.11,0.218
OP1 - Retrieve,Read-only,220.88,0.221
OP1 - Retrieve,Read-only,222.58,0.223
OP1 - Retrieve,Read-only,218.54,0.219
OP1 - Retrieve,Read-only,221.7,0.222
OP1 - Retrieve,Read-only,221.4,0.221
OP1 - Retrieve,Read-only,222.74,0.223
OP1 - Retrieve,Read-only,217.56,0.218
OP1 - Retrieve,Read-only,219.75,0.22
OP1 - Retrieve,Read-only,220.28,0.22
OP1 - Retrieve,Read-only,221.33,0.221
OP1 - Retrieve,Read-only,221.01,0.221
OP1 - Retrieve,Read-only,219.35,0.219
OP1 - Retrieve,Read-only,220.29,0.22
OP1 - Retrieve,Read-only,223.24,0.223
OP1 - Retrieve,Read-only,224.28,0.224
OP1 - Retrieve,Read-only,220.98,0.221
OP1 - Retrieve,Read-only,223.45,0.223
OP1 - Retrieve,Read-only,221.36,0.221
OP1 - Retrieve,Read-only,219.94,0.22
OP1 - Retrieve,Read-only,218.24,0.218
OP1 - Retrieve,Read-only,220.51,0.221
OP1 - Retrieve,Read-only,219.32,0.219
OP1 - Retrieve,Read-only,219.48,0.219
OP1 - Retrieve,Read-only,221.47,0.221
OP1 - Retrieve,Read-only,220.56,0.221
OP1 - Retrieve,Read-only,216.41,0.216
OP1 - Retrieve,Read-only,219.97,0.22
OP1 - Retrieve,Read-only,222.18,0.222
OP1 - Retrieve,Read-only,220.16,0.22
OP1 - Retrieve,Read-only,220.89,0.221
OP1 - Retrieve,Read-only,219.24,0.219
OP1 - Retrieve,Read-only,221.88,0.222
OP1 - Retrieve,Read-only,219.96,0.22
OP1 - Retrieve,Read-only,217.49,0.217
